title,company,link,date_listed,location,salary,remote,rating,easy_apply,description
Business Analyst I,Irvine Facility,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFC9bJhtXVY9SwErQh6_K1LZIk-dTetTWUspxK_J7dHkXEOwCt-JOkFulAFxJ0bxxCFyzOEIFxXXHurpERTugTOFEPuAVCVSVXoEFh6RZt0VeK05y-ioMte9vBBwTML5o4QoJiBen5JLHrjCIu4bK5vy1qottp0LqezrlgLIf-Jf6ExdMpKHIay0SklUOiNYlz3KcTXUw7TuJjtPRmfK-qY4HldNh6jRUPApEB_YG-0dZeLEzDJaIUe3ZGgyCIETEdW91b970a5gcmUQ3XlVW94pJrHuQTlNkx9rrZXLlLDZE_CEQhlbM7ZySJeboHLjXCQs18tfuIDiOwfOEznc5_2t6LjL_4P3TxwkiX8HSSn3fE5Ehp7GxHnhObz-mj0E_uYMa0J1YuQqZTl2JhTGWp1YlTel8WqYa1TcFCjjoPXKVEZ4Bf0R_IzDYJWo5KTLSq1bNe-bxqHWiG_FZdfbWuFSQTVzwJBYFXEsLtkbcqlBEsLBWXmuxPcRr1XDiYl9yQy0YGHB5VbAQU4NXyp6e45z2HANnh7-lkZfQNkjToTn3GyfqidGYq5xjoTGQghKbjhJF6yYPn2Q==&p=0&fvj=0&vjs=3,Just posted,"Irvine, CA 92623",None,None,None,None,"Overview

/
About B. Braun
/
/
B. Braun Medical Inc., a leader in infusion therapy and pain management, develops, manufactures, and markets innovative medical products and services to the healthcare industry. Other key product areas include nutrition, pharmacy admixture and compounding, ostomy and wound care, and dialysis. The company is committed to eliminating preventable treatment errors and enhancing patient, clinician and environmental safety. B. Braun Medical is headquartered in Bethlehem, Pa., and is part of the B. Braun Group of Companies in the U.S., which includes B. Braun Interventional Systems, Aesculap® and CAPS®.
/
/
Globally, the B. Braun Group of Companies employs more than 61,000 employees in 64 countries. Guided by its Sharing Expertise® philosophy, B. Braun continuously exchanges knowledge with customers, partners and clinicians to address the critical issues of improving care and lowering costs. To learn more about B. Braun Medical, visit www.BBraunUSA.com.
/

Position Summary:
The Business Analyst will provide site support to ERP (SAP), and MES-EBR system users from the Operations and Supply Chain Management functions. /
/
Responsibilities: Essential Duties
/
Provide business systems analysis support to internal customers and external trading partners, including new projects to enhance already existing SAP modules and transactions and or new areas with SAP to improve business processes.
/
Contribute computer system–oriented solutions to business problems.
/
Serve as a liaison with the Information Services department.
/
Perform creation and maintenance of SAP Master Data to ensure the integrity of the data and guarantee GMP compliance.
/
Ensure that the development, implementation and delivery of SAP training conform to SOPs and is in compliance with cGMP.
/
/
The job function listed is not exhaustive and shall also include any responsibilities as assigned by the Supervisor from time to time.
/
/
General:
/
It shall be the duty of every employee while at work to take reasonable care for safety and health of himself/herself and other persons.
/
/
Expertise: Knowledge & Skills
/
/
Requires basic knowledge of relevant business practices and procedures in professional field. Uses standard theories, principles and concepts and integrates them to propose a course of action.
/
Works under general supervision. Relies on experience and judgement to plan and accomplish assigned goals. May periodically assist in orienting, training, and/or reviewing the work of other peers.
/
Some degree of judgment required in resolving problems based on experience.
/
Contacts are primarily with direct supervisor, peers and subordinates.
/
Experience in managing or working on projects.
/
Knowledge of ERP systems such as SAP, JD Edwards, NetSuite, etc. preferred.
/
APICS certification preferred.
/
/




/
Expertise: Qualifications -Education/Experience/Training/Etc
/
/
Required:
/
/
Bachelor's degree required.
/
02-04 years related experience required.
/
Applicable industry/professional certification preferred.
/
Regular and predictable attendance
/
/
/
While performing the duties of this job, the employee is regularly required to sit and talk or hear. The employee frequently is required to use hands to handle or feel and reach with hands and arms. The employee is occasionally required to stand and walk. The employee must occasionally lift and/or move up to 20 pounds.
/
/
/
B. Braun offers an excellent benefits package, which includes healthcare, a 401(k) plan, and tuition reimbursement. To learn more about B. Braun and our safety healthcare products or view a listing of our employment opportunities, please visit us on the internet at www.bbraunusa.com.
/
/
Through its “Sharing Expertise®” initiative, B. Braun promotes best practices for continuous improvement of healthcare products and services.
/





PI125071654"
Software Business Analyst,SafetyChain Software,https://www.indeed.com/company/SafetyChain-Software/jobs/Software-Business-Analyst-50436d7d0096c6d8?fccid=31f9d7e444ff6834&vjs=3,3 days ago,"Novato, CA 94945","From $75,000 a year",Temporarily remote,4.7,Easily apply,"Are you passionate about delivering world class SaaS solutions in a fast-paced environment? Love collaborating with colleagues to create top-notch applications that help to solve today’s problems? Like the idea of a flexible, autonomous work environment to get the job done the way you like to work?
SafetyChain Software is looking for a Business Analyst to join our Engineering team at our Novato,CA office. Reporting to the Director of Development, this role will work closely with our product management, and engineering teams to define, design, document technical requirements for SafetyChain’s web and mobile solutions .
Who we are:
SafetyChain is the #1 Plant Management Platform that improves yield, maximizes productivity, and ensures compliance for food & beverage manufacturers. Trusted by over 1,500 facilities, SafetyChain is the only complete solution for production (OEE & SPC), food safety and quality (QMS), and supplier compliance.
A distinctly recession-proof market, food and beverage manufacturers have counted on SafetyChain to mitigate the problems from COVID-19 to understand more about how their manufacturing operations are running. We're positioned to not just weather the storm, but ride the wave of its opportunity - and that's where you come in.
What you'll do:
As part of the Engineering team, the Business Analyst will work with the Product Management team and Business Subject Matter Experts to gain in-depth understanding of business needs, workflows, procedures and constraints to define technical solutions that meet and support business requirements. In this role, the Business Analyst is responsible for defining, analyzing, and documenting business requirements.
The success of this role means that released features/solutions meet the defined business requirements.
Key Responsibilities
Become Subject Matter Expert of SCS Solution Suite’s functionality.
Work with Product Management to gain in-depth understanding of SCS roadmap.
Work with SCS Business Subject Matter Experts to understand business processes, workflows, and requirements.
Document requirements, defines scope and for feature work included in the SCS roadmap.
Assist in designed, development, testing, implementation and documentation of new or optimized features.
Prepare and deliver presentations on product functionality for internal training needs.
Assists users in understanding how to appropriately use supported applications.
Assist Dev Support in investigating product issues to determine if a change to product is needed.
Ability to operate in a fast moving, team oriented, collaborative environment with tight deadlines.
Provide and lead strategic initiatives on adoption of SCS technology stack.
Our Ideal Candidate
2-3 years’ experience as a Business Analyst or similar role in a technical field.
Experience working in a SaaS environment.
Experience with Enterprise Applications such as ERP or similar
Experience in the Food industry Production, Quality or Food Safety is a plus
Previous experience in a developer or technical role is a plus.
Proven ability to work well in a group, as well as alone and unsupervised.
Excellent verbal and written communication skills.
Ability to understand and articulate technical requirements in a technical and non-technical language.
Experience working with relational SQL Server databases.
Working knowledge of Azure or other cloud provider.
Solid understanding of traditional SDLC and Agile processes.
Personal Attributes we Value:
Enthusiastic, self-motivated, self-starter and maintains a positive attitude.
Ability to multi-task and stay organized in a dynamic work environment.
Ability to travel within U.S. for onsite customer meetings
Ability to solve problems quickly and completely.
Exceptional verbal and written communications skills combined with the ability to explain complex ideas to those with limited technical and system knowledge.
Reliable, flexible and cooperative.
Excellent organizational, communication, comprehension, and follow through are required.
Diplomatic and tactful.
Personable and approachable, with an enthusiastic and motivational nature and an overall passion for excellence.
Strong level of interpersonal skills to communicate effectively with internal and external customers.
Great listener and patience.
Things that Make the Job Awesome
Competitive compensation plan
Opportunity for stock options
Health benefits
Vacation
Flex Schedule
Work From Home Flexibility
Fast growing tech company with big opportunity
Great team and culture
Rewarding work that is solving an important problem
This position works out of the Novato, CA office and will require approximately 20% travel. It may require working in front of a computer for prolonged periods of time.
Equal Opportunity Employer: All qualified applicants will receive consideration for employment without regard to race, color, religion, marital status, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status or any other characteristic protected by law applicable to the state in which you work.
Job Type: Full-time
Pay: From $75,000.00 per year
Benefits:
401(k)
Dental insurance
Disability insurance
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Retirement plan
Vision insurance
Schedule:
Monday to Friday
COVID-19 considerations:
We're keeping our teams safe and allowing optional remote work from home for the remainder of 2020
Experience:
SaaS software analyst: 2 years (Required)
SQL Server Database: 2 years (Required)
software business analyst: 2 years (Required)
Work Location:
One location
This Company Describes Its Culture as:
Outcome-oriented -- results-focused with strong performance culture
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Company's website:
https://safetychain.com
Company's Facebook page:
https://facebook.com/safetychain
Work Remotely:
Temporarily due to COVID-19"
MDL Business & Operations Analyst,University of California Santa Cruz,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CMMrwQCTGqxDMwPsqy_tpyMCXYMRX0KWyeG_5gagirn-TIoOtlzpVez8q1YeRjiWL7aDNVNktFkeOBwbVRu-sTiyDqfNc6acCQJ4ZFpEnUvbHk8KlIG3JEvjYl7Uk20PmklaufyJN8zD1JVBKovm7NGuZj9nZm3UaqLDqCKsaoEOmrY1Vtjj5NIChKgh63J0mKLz6bhDix1oidjXiENssfAzyUFSg5SwXTkO5xk5qcZJrwFi57hv9dK2zeDRW66N0xBFrhpw7_xauNrKOEM0qCmZLWQMxEelh-3kpiEvWIaKPqYcFK4uRrVDKtJKAaP6gE9MqM6Qdk8dAl7oBDw3Luu6tG5rz5ULEaTXRa5AwXphZGq3cBbinivPuKIETNcI5ulrsXhgoufQ==&p=2&fvj=0&vjs=3,13 days ago,"Santa Cruz, CA 95064","$70,000 - $85,000 a year",Temporarily remote,4.3,None,"MDL Business & Operations Analyst

Location: Santa Cruz
Job ID: 11031

Initial Review Date (IRD)
The Initial Review Date (IRD) for this job is: 10/1/2020

UC Santa Cruz staff jobs are posted until filled. Application materials submitted by 11:59 pm on the IRD will be routed to the hiring unit for consideration. NOTE: Materials submitted after the IRD will be forwarded only at the request of the hiring unit. Submit your materials before the IRD to ensure consideration by the hiring unit.

Dept Marketing Statement
Effective May 1, 2020, the UCSC Molecular Diagnostic Lab was approved as a temporary testing site by the California Department of Public Health, under CLIA certificate of accreditation - CDF-00002057, CLIA # 05D0687329 to provide COVID-19 testing. The lab will operate within the guidance and regulations put forward by the State of California, the County of Santa Cruz, the California Department of Public Health (CDPH), and the Food and Drug Administration (FDA). The Molecular Diagnostic Lab resides within the Office of Research (OR) and is supported by the OR Business and Operations team.

Under leadership of the Vice Chancellor for Research, the Office of Research has primary responsibility for research policy, planning and administration of the UC Santa Cruz Research enterprise. The Office of Research supports the research community through five units: the Office of Sponsored Projects, Research Development, Office of Research Compliance Administration, Industry Alliances & Technology Commercialization and the Office of Research Business & Operations.

Job Overview

The MDL Business and Operations Analyst will provide administrative and operational support for the UCSC Molecular Diagnostic Laboratory. This support will include vendor communications, placing/monitoring orders, developing a system for and managing accounts receivable, managing service provider contracts, developing budgets, managing all laboratory finances, preparing financial reports, providing human resource support in collaboration with Staff Human Resources, assisting with the preparation of emergency funding requests, and assisting with operational needs as they arise. The MDL Business and Operations Analyst will report to and be an integral part of the Office of Research Business and Operations team. This position will start off working remotely, and may remain remote if desired.

Pay, Benefits, & Work Schedule
Salary Information: Starting Salary Range: $70,000 - $85,000/annually. Salary commensurate with qualifications and experience.

No. of Positions: 1

Benefits Level Eligibility: This position is eligible for Full benefits

Schedule Information:
Full-time, Fixed
Percentage of Time: 100%
Average Hours Per Week: 40
Days of the Week: Mon-Fri
Shift Includes: Day

Employee Classification: This is a Career appointment

Job End Date: 1 year from date of hire, with possibility of extension

Work Location: UC Santa Cruz main campus

Union Representation: None

Job Duties
40% - Manage, plan and administer operational support for the Molecular Diagnostic Laboratory, including vendor communications, placing/monitoring orders and managing service provider contracts. Administer facilities and space logistics and manage equipment needs. Perform studies for resource plans that include approaches, trends, sources and uses. Serve on committees as a reprsentative of the department/unit.

35% - Develop and prepare budgets and financial reports for funding which may be complex. Assist with preparation for emergency funding requests. Develop budget, a system for and managing accounts receivable and manage all laboratory finances. Perform recharge administration. Develop and implement procedures for supply inventory and to keep equipment in good working order.

15% - Coordinate and participate in a variety of human resources activities including employment, training, classification, and ensuring the completion of forms and documents related to HR and Payroll for unit / department. Gather, analyze, prepare and summarize HR reports.

10% - Provide input into non-technical portions of grant and contract proposals.

Required Qualifications
Bachelor's degree in related area and / or equivalent experience / training.
Strong interpersonal skills including verbal and written communication, active listening, critical thinking, persuasiveness, advising and counseling skills.
Knowledge of a variety of administrative operational activities such as accounting and payroll, contract management, invoicing, vendor managmenet, and contracts and grants regulations and guidelines.
Ability to use discretion and maintain confidentiality.
Strong skills in short-term planning, analysis and problem-solving.
Strong customer service skills.
Thorough knowledge of financial analysis and reporting techniques, and human resources policies and procedures for staff and academic employees.
Ability to multi-task with demanding timeframes.
Advanced knowledge of common computer applications, including Microsoft Office, Google Calendar or equivalent, etc.
Political acumen and sensitivities to the differing perspectives and political circumstances within all levels of the organization.
Ability to work collaboratively in a team environment.
Ability to work independently and innovatively with minimal direction.

APPLICANTS ARE REQUIRED TO USE THE UCSC ON-LINE PROCESS
View full job description and access on-line application:
https://careerspub.universityofcalifornia.edu/psp/ucsc/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=11&JobOpeningId=11031&PostingSeq=1

To ensure review of application materials by the hiring unit, they must be submitted on or before the initial review date (IRD) via the Staff Employment Opportunities web site; https://jobs.ucsc.edu. A computer is available at the UC Santa Cruz Staff Human Resources Office located at Scotts Valley Center. The Scotts Valley Center is located at 100 Enterprise Way, Suite E100, Scotts Valley, CA 95066. To learn more or to request disability accommodations, call 831-459-2009. Hearing impaired are encouraged to use the California Relay Service at 800-735-2922. UC Santa Cruz is an Equal Opportunity Employer.

The University of California is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, or protected veteran status. UC Santa Cruz is committed to excellence through diversity and strives to establish a climate that welcomes, celebrates, and promotes respect for the contributions of all students and employees.

Copyright 2017 Jobelephant.com Inc. All rights reserved.

Posted by the FREE value-added recruitment advertising agency

jeid-3ee7efef9b6b6b4985b99f99a50690f9"
Remote Business Analyst/Financial Analyst Intern,Education Ecosystem,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D4LqQGcuU1DmvQla80HP-Y3gldAUF2xesFK6IbLOLdOWqSFm9ZYcYVOkRJVqcwy2fGyYGGPYSCapqx4cch8AiM3X-EH5X8ymUqbkfUu-yiyJtomAUUx-UwoAiMPUWad9PFJNKQDeT94mCyu3e2231vLy0jtfEJHvRw5g65EbM4djLJsKBy-MFBcGCqQXvBEX-NJh3B4uFHnPhgGeFHJSUARE-LBHNjX9zXOBm2LWcRB9cWwp_sYuEci3v9fTMHNlQjpHjkP1csyYOwST07KpYJgopjn-tjj6NCcYnENevE0W590lPQ0jQacFjdH2hXi2xOCEQs4aXEKGH55kiL8eQkzZGEI0rUuLpuzHDWfTvZJaEBC4zpWbuveELGhnbVwM9U6ydVVHZWgYLsPfzm4E2J48cr8fqXbhAnyhUQd8d9KAWYD57W4YFLrf903cWLmdgXVg7FIgADiCV1Yz5HmuRl8i3XQUe8HgCdC8vlJzIPnZGL4bwv_OIn&p=3&fvj=1&vjs=3,8 days ago,"Los Angeles, CA",None,Remote,None,Easily apply,"Education Ecosystem (LiveEdu) is seeking a Remote Business/Financial Analyst Intern. Ideally a graduate or college student from California, Nevada or Arizona.
About Education Ecosystem
Education Ecosystem is a decentralized learning ecosystem that teaches professionals and college students how to build complete products in areas such as Programming, Game Development, Artificial Intelligence, Cybersecurity, Game Development, Data Science, and Blockchain.
We are building YouTube for professional development for technical subjects.
Education Ecosystem is a hybrid of Twitch and Pluralsight. Unlike existing online education platforms the product is not focused on beginners, but intermediates to experts who want to improve their existing skills and take their skills to the next level. We are targeting the $306 billion professional development market and our website can be found under the link: https://education-ecosystem.com/
Our users come from USA, Europe, Asia and Africa. Our team works with Slack and Trello. We use the Daily Slack App for video calls.
Responsibilities for this position:
Business and financial analysis
Data Analysis and data visualization
Market research
Creating investment presentation decks
Supporting management team
Engaging with investors, business partners and government officials
Requirements:
College graduate with good GPA result
Past internships or work experience in areas such as Investment Banking, Operations, Controlling, Corporate Finance, M&A, Private Equity, eCommerce
Experience using business analysis and productivity tools
Good command of basic business administration concepts and frameworks
Experience with building business models using Excel/VBA
Very skilled at creating sales, product and investment presentations
Impeccable English in writing (grammar, expressions).
Basic practical skills/knowledge in programming and frameworks
I-9 verification and E-verify: Only candidates that are US citizens or have an existing valid US green card. We do not sponsor visas
Ideally college students from California, Nevada or Arizona
Only apply if you:
Have an entrepreneurial mindset
Comfortable working in an environment where hustling is the motto: speed is a key ingredient of our culture. It is ok to make mistakes. Just learn from them for next time
Are eager to learn and take responsibility
Reliable team player
What we offer
Remote position
Healthcare coverage (medical, dental, vision)
Retirement contribution matching
Attractive compensation package.
Tech start-up culture
Flat hierarchy and ability to take over ownership of the described areas
Opportunity to work with a diverse set of team members from around the world
Highly professional and creative working environment
Become part of the new product we are launching
Job Type: Full-time
Benefits:
Dental insurance
Health insurance
Vision insurance
Schedule:
8 hour shift
Work Location:
Fully Remote
Company's website:
Https: //education-ecosystem.com"
Senior Business Analyst,Ahatis LLC,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A60O_sj3z5h66m4dohGDu2Tc8hOPIhunbiJbB5LGW5YFIEaqilxXv0x8KHyR1bBdm3kUNkDr9cSbNou0sTHuq8CbQsQAAxucTolO-XMmPvU1SPTs2zc5pi8WoLf6oMr3wS5FEA_22isJxmCTbFXcQ2Inq9DWg-vc34x-8TBKrMSI3w9bzOxGlkkuYjq1py7hb9OdC7sQmSgB9yfEoG9AfZVAfXc-nbcOWEVWloc3aas2QKIihkQY31jkmp0OqqmW0ug_u8dMZB6Wbq9vLbDPtrbwvLycVtdfRu1hmDWsy3ybafCxESejoiVwBh9NYXomoT9CKKGn0Y8k28p8f3BgESiCFb_cHmEVCGw56KK389u1m_SrIiSrXHhF6k49NCrOX6hrCFQZRlCpEnf4chSKx59RSihoDn1Ak96rE_mYTCi6ZfsbwnJtf1lX_l8dIi-E_Bnng-xCFEsmNo59sXYT0G&p=4&fvj=1&vjs=3,6 days ago,"San Ramon, CA 94583","$90,000 - $140,000 a year",Temporarily remote,None,Easily apply,"company overview
ahatis is comprised of experienced enterprise business and technology executives with deep expertise in transformational business and technology initiatives. Each partner at ahatis has paved their paths at some of the world’s top firms including Booz and Company, Danone, Del Monte Foods, ConAgra Brands, and Red Bull. ahatis specializes in leveraging technology to solve business challenges and seize opportunities that are all-too-often missed by traditional consulting and technology firms. At ahatis, we are forward thinking, and solution focused.
We currently have three Software-as-a-Service (SaaS) offerings with active customers in the marketplace and new customers in the pipeline. The first offering (Highland) provides non-technical capabilities around data management, data normalization, and data conversion. The second and third offerings (Sell-Thru-Analytics) provide manufacturers and distributors a robust sell through analytics platform to gain a deeper understanding of their business with actionable direction on how to improve operational efficiency.
description of role
This is a key role in the organization, working directly with customers and partners to ensure the proper definition and delivery of capabilities within our SaaS solutions.
Lead capability definition of our SaaS solutions, working with current/future customers, industry leaders, and executives to define the direction and timing of capabilities.
Primary conduit with technical data team and development, ensuring understanding of functional requirements.
Owner/author of the functional specification for each of the SaaS solutions.
Testing lead to perform and oversee all testing: Unit Testing, End-to-End Testing, Regression Testing, Performance Testing, and User Acceptance Testing (UAT).
Key Customer contact regarding change management, onboarding, utilization and business benefit realization of the solution.
Develop detailed documentation (gap analyses, process flowcharts, decision tables, etc.) to aid in the understanding of business requirements and potential solution options in the areas of Sell Through Analytics and Master Data.
Consult a broad group of stakeholders to understand all requirements; negotiate a process/system solution that will meet the needs of the broader group.
key requirements
BS/MS degree
8+ years of business process improvement experience, either as a Business Analyst or in a functional business role.
Strong understanding of advanced analytics, the ability to think about data as an elasticity.
Subject Matter Expert in the Manufacturing/Distributor Industry
Relevant working experience in the fuel or lubricant industry
Relevant working experience in complex distributor network
Career of progressing responsibilities
Ability to listen to complex business challenges and propose relevant solutions
Work in a highly unstructured environment
Job Type: Full-time
Pay: $90,000.00 - $140,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Education:
Bachelor's (Preferred)
Experience:
Business analysis: 8 years (Preferred)
Work Location:
Multiple locations
Company's website:
www.ahatis.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19"
Business Intelligence Analyst,All Service Financial,https://www.indeed.com/company/All-Service-Financial/jobs/Business-Intelligence-Analyst-bb0ef104cb5f623b?fccid=b299299b8124db73&vjs=3,Today,"Los Angeles, CA","$45,000 - $125,000 a year",Remote,None,Easily apply,"We're looking for an experienced Business Intelligence Analyst to report to our CEO & CMO.
This role is perfect for someone with a few years of experience looking to make the jump into a senior role and run BI/analytics for our fast-growing startup, as you'll be building our BI suite from the ground up! Initially, you'll work with all parts of our org, including dev, to link our data sources to the right data store and visualization platform, then get going on creating a series of dashboards and KPI trackers we already have in mind.
Once that's all done, we'll be looking to you to dig into the data and optimize our processes, everything from marketing spend to sales call-time efficiency to customer retention/LTV. Members of our team have experience with Google Data Studio and Big Query, Looker, Domo, and Tableau, but right now we lean on MySQL, Excel, Google Sheets, and 3rd party & homegrown APIs -- join a fun, fast-paced team at Acquisition Brands where you'll have the opportunity to move the needle as head of BI & Analytics.
Job Type: Full-time
Pay: $45,000.00 - $125,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Work Location:
Multiple locations
Fully Remote
Company's website:
www.acquisitionbrands.com"
Entry Level Business Analyst,Cloudinfraspecs,https://www.indeed.com/company/Cloudinfraspecs/jobs/Entry-Level-Business-Analyst-bdc6ce475d0fb30e?fccid=1f9ec428ea097d8e&vjs=3,12 days ago,"Los Angeles, CA","$65,000 - $75,000 a year",Temporarily remote,None,Easily apply,"We are looking for Entry Level Business Analyst
Responsibilities:
Support in for gathering, defining, testing and documenting the technical requirements for both existing and future applications
Provide recommendations in enhancing and expediting business activities
Conduct client meetings, understanding, and integrating their business needs into technology
Develop test procedure, test plans, and test cases for clients
Work closely with development team and testing software releases
Involve with all the phases of Software Development Life Cycle (SDLC) methodologies throughout the project life cycle.
Qualification
Bachelors or Master’s any Degree
0-1 year of experience
Strong Communication & Technical skills
Responsible, dependable, quick learner
Demonstrated ability to adapt to new technology
Job Type: Full-time
Pay: $65,000.00 - $75,000.00 per year
Schedule:
Monday to Friday
Work Location:
One location
Work Remotely:
Temporarily due to COVID-19"
"DRU Business Analyst, Career",PG&E Corporation,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dl5O3UwlcwwCSNUOo_pIXFXhqhPgZDNLRFp2hAbMlfu1d7JOPMxeGbMVLT5MXL8TYxOxCxpAVXSFo_u2DBzpWqtDkCXDVsbp8C8TNZR9yV2btsN2Y_HftWIf6mEck8YI0zm45k4as1Sq351PWwroUQUpbGlkd3AnE3ESW3d1kKZkoeNoy8uZGWweebx7aVNOP2BFSYw6szpHE4bcoRJgdZ3YOCuF6Fo-pT5QP6xXUftmYX2Jzh-cMxJ1Ds2zNMsYi53DbKKRDxcjZ8l1UnNgQhb5USoiuEEWrYtvzFevMufZbdsdRQmIJM98PWr0zYjqZNTeagNp9JjqnFAEqWcf4dKGGvBJF1ow6AQzcCp138Bywk7SAtzhIAYZIXtvxp1hVyftYe5rPJOuVmf3NL-ioX&p=7&fvj=0&vjs=3,Just posted,"San Francisco, CA 94102 (Downtown area)",None,None,3.8,None,"Job Location : San Francisco

Department Overview
The Data Response Unit (DRU) team is a strategic and forward-looking team that delivers quality data responses related to wildfires and CPUC reportable events. Through our involvement compiling critical business information, we provide insights that enable the business to grow and improve. The DRU ensures internal and external requests are managed and delivered with appropriate, accurate, consistent, and timely information.

Position Summary
DRU Business Analysts are the first and last touch for the data response process. As a result, they are oriented to both internal and external customers, assigning requests to DRU team members and producing the final responses. They are responsible for data base management, data analysis, and reporting in support of business decision making, business strategy and business operations. They may also be involved in business process improvement, quality control and special projects and other initiatives.
The ideal candidate will have a high level of integrity, strong attention to detail and customer focus. The DRU is looking for someone who may have a regulatory background, is able to prioritize competing priorities, has excellent oral and written communication skills, can consistently follow and advocate for the DRU data request process, and is able to excel in rapidly changing environment.

Job Responsibilities
Works as part of a team or under limited supervision to ensure Electric Operations data requests are logged, produced and preserved accurately and consistently in accordance with the DRU process.
Performs data request intake and assignment.
Maintains database quality, tracks due dates and status.
Prepares and produces data request responses to internal and external parties following applicable confidentiality and formatting protocols.
Identifies process gaps or data quality issues and recommends solutions.
Understands business needs, develops new reports and performs custom/ad-hoc reporting working independently. Presents findings to various audiences.
Facilitates meetings, convening team members on a regular basis to discuss work progress and process improvement.
Communicates with peers inside and outside the department exchanging ideas or gathering information.
May be involved in the development of employee training.
May participate in quality assurance and business process improvement activities.

Qualifications

Minimum
Bachelor of Science in Business, Finance, Economics, Engineering or related discipline or equivalent work experience required.
2 years of related work experience

Desired
High level of integrity
Excellent attention to detail and critical thinking
Bias to action
Excels in rapidly changing, high-energy work environment
Cool under pressure and able to balance competing priorities
Regulatory knowledge or experience with CPUC, FERC, NERC requirements
Some knowledge and understanding of Electric Operations’ processes and practices
Proficient computer skills (ie. Microsoft Office Applications)
Auditing or quality management experience, including quality assurance or quality control
Advocacy, negotiation, and persuasion skills
Comfortable with speaking up and communicating data quality issues or process gaps to stakeholders
Ability to clearly and concisely communicate (oral and written) with a wide range of stakeholders
Ability to problem solve and implement solutions
Ability to consistently follow processes and make process improvements
Enjoys working in a close-knit, team environment"
Associate Business Analyst,Sureprep LLC,https://www.indeed.com/rc/clk?jk=9a0a5e6c807637a4&fccid=dd11cdd9cea4b258&vjs=3,Today,"Irvine, CA 92614 (Business District area)",None,Remote,3.8,Easily apply,"About the Organization

SurePrep's software solutions 1040SCAN, SPbinder and TaxCaddy plus onshore and offshore tax preparation outsource services allow accounting firms to increase productivity and profitability while promoting a completely digital tax workflow. SurePrep provides the most automated solutions available to streamline the entire 1040 process for both the CPA and taxpayer. We seek out the brightest candidates capable of tackling the ever evolving tech industry while maintain a reputation that has lasted over 20 years. Our employees make SurePrep LLC. Our company culture and competitive compensations are a few reasons why we attract and maintain top talent.

EOE Statement

We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status or any other characteristic protected by law.

Description

We are looking for a Business Analyst to join our growing team here at SurePrep! This full-time position will play a vital role in identifying end user needs for our growing number of software products. The position requires significant cross functional interaction with the product owners, development teams, technical architects and other stakeholders (onshore and offshore).

Key Responsibilities

Elicit product requirements from end users and subject matter experts
Document requirements in the format of business requirements documents (BRDs) and user stories with acceptance criteria (Agile)
Develop use cases, activity diagrams, flowcharts, and decision tables to facilitate development
Perform customer/user acceptance testing
Develop training and implementation material
Report on common sources of technical issues or questions and make recommendations to the product team
Constantly be on the lookout for ways to improve monitoring, discover issues, and deliver better value to the customer
Organization and prioritization of a multitude of responsibilities and dead lines
Ability to regularly participate in morning and/or evening international meetings remotely

Requirements
A college degree
1-3 years of BA experience
Strong written and verbal communication skills including technical writing skills
Highly logical thinker who can work in a team and a cross functional environment
Strong analytical and problem solving skills with great attention to detail
Strong MS Office skills
Knowledge and experience in Agile methodology is preferred
Experience in eliciting requirements and testing is a plus
Knowledge in Atlassian products like JIRA and Confluence is a plus"
Business Analyst {MDM},Saama Technologies Inc,https://www.indeed.com/rc/clk?jk=004bde507c089a33&fccid=f7cbfaf9ddc3fe8a&vjs=3,15 days ago,"San Francisco, CA",$85 an hour,Remote,3.5,None,"Job Title: Analytics Business Analyst
Duration: 18 months
Visas: All visas
Location: Remote(must be able to work in PST)
Bill Rate: $85/hr on C2C"
