title,company,link,date_listed,location,salary,remote,rating,easy_apply,description
Business Intelligence Analyst,All Service Financial,https://www.indeed.com/company/All-Service-Financial/jobs/Business-Intelligence-Analyst-bb0ef104cb5f623b?fccid=b299299b8124db73&vjs=3,1 day ago,"Los Angeles, CA","$45,000 - $125,000 a year",Remote,None,Easily apply,"We're looking for an experienced Business Intelligence Analyst to report to our CEO & CMO.
This role is perfect for someone with a few years of experience looking to make the jump into a senior role and run BI/analytics for our fast-growing startup, as you'll be building our BI suite from the ground up! Initially, you'll work with all parts of our org, including dev, to link our data sources to the right data store and visualization platform, then get going on creating a series of dashboards and KPI trackers we already have in mind.
Once that's all done, we'll be looking to you to dig into the data and optimize our processes, everything from marketing spend to sales call-time efficiency to customer retention/LTV. Members of our team have experience with Google Data Studio and Big Query, Looker, Domo, and Tableau, but right now we lean on MySQL, Excel, Google Sheets, and 3rd party & homegrown APIs -- join a fun, fast-paced team at Acquisition Brands where you'll have the opportunity to move the needle as head of BI & Analytics.
Job Type: Full-time
Pay: $45,000.00 - $125,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Work Location:
Multiple locations
Fully Remote
Company's website:
www.acquisitionbrands.com"
Business Intelligence Analyst,Averro,https://www.indeed.com/company/Averro/jobs/Business-Intelligence-Analyst-ba368a0428228fa4?fccid=acacab80642863ca&vjs=3,19 days ago,"Sacramento, CA",$65 - $75 an hour,Remote,4.4,Easily apply,"Contract to hire
Sacramento, CA
Business Intelligence Analyst
Duties:
The Business Intelligence Analyst (BIA) provides analytical and operational support to our clients Medical Foundations and Health Affiliates on issues related to information reporting systems. The BIA is responsible for data mining, business intelligence (BI), and reporting to generate analytical support to philanthropy, events, marketing and communications, donor relations, prospect research, strategic initiatives, finance, and fundraising operations. The BIA also is responsible for translating business requirements into queries, models, and customized dynamic and interactive reports to help business users and management effectively utilize information.
Education:
* BA/BS Degree in Statistics, Applied Statistics, Marketing Analytics, Management Information Systems, Computer Science, Data Science or similar is required OR 3 years related experience in Business Intelligence reporting using BI applications (Crystal Reports, SQL Server Reporting Services, Power BI, SAS, SPSS, Tableau, etc.) is required.
Skills:
Experience with Workday Integrations, Prism Analytics, Report Writer, and BIRT preferred. Education / Experience / Skills: * BA/BS Degree in Statistics, Applied Statistics, Marketing Analytics, Management Information Systems, Computer Science, Data Science or similar is required OR 3 years related experience in Business Intelligence reporting using BI applications (Crystal Reports, SQL Server Reporting Services, Power BI, SAS, SPSS, Tableau, etc.) is required. * Intermediate knowledge of SQL or a comparable database query language required. Advanced knowledge preferred. * Familiarity with philanthropy and / or healthcare operations preferred.
Job Type: Full-time
Pay: $65.00 - $75.00 per hour
Schedule:
8 hour shift
Education:
Bachelor's (Preferred)
Work Location:
Fully Remote"
Junior Intelligence Analyst,Valiant Integrated Services,https://www.indeed.com/rc/clk?jk=b77da135412bbba2&fccid=417b94bc1bee0c80&vjs=3,30+ days ago,"Anaheim, CA 92805",None,None,3.5,None,"Valiant seeks motivated and operationally-minded intelligence analyst professionals to provide on-site intelligence analytical support for law enforcement intelligence fusion center in Orange County, CA. The Center executes its missions of counterterrorism, crime prevention and all-hazard public safety in an information sharing environment (ISE).
Intelligence Analysts performs all-source intelligence in support of the Center's intelligence missions in the Center's operational area. Provides timely development and distribution of intelligence, provides intelligence/analytic subject matter expertise to internal and external stakeholders, develops intelligence products, assists and trains other analysts in analysis and production, and provides investigative support related to cyber incidents.
U.S. Government security clearance required. Both Federal and Orange County Sheriff's Department (OCSD) background investigations will be required. See Additional Requirements for details.
Law enforcement, counterterrorism, and/or military intelligence background highly desired.
Analysts work a 4/10 schedule (ten hours per day, four consecutive days a week), generally during business hours, though start times are flexible. Some after-hours availability and willingness to respond to the fusion center during emergencies are expected.

RESPONSIBILITIES AND DUTIES:
Conduct all-source intelligence analysis. Perform in depth exploration of real-time open source analysis sites including the review of information sources.
Conduct research and expanded electronic searches linking California and the fusion center area of responsibility with international and domestic events. Access various government and non-government databases, sources and software through unclassified and classified platforms.
Provide timely and relevant intelligence analytical products for partner agencies in urban area. Products may include verbal analysis or written reports, including threat assessments, trends analysis, information bulletins, special event assessments, tactical information, and other analytical products.
Use analytic tools to create charts, maps, timelines, and link diagrams for the purpose of demonstrating analytical findings, including target relationships, and time sequence of events.
Assist in vetting of tips and leads to ensure compliance with National Suspicious Activity Report Initiative and adhere to Privacy/Civil Liberties and Civil Rights guidelines.
Support strategic analysis of threats facing the area of responsibility. As tasked, provide more tactical analysis for partners/stakeholders to assist in decision making and allocation of resources.
Maintain community focus. Foster and maintain relationships with local, state, federal and private sector partners. Assist the training and outreach unit in coordinating fusion center related training and outreach events.
Perform other duties related to intelligence, investigations, and other missions as directed by Center leadership.

CORE VALUES:
INTEGRITY - Honesty, Trust and Respect in every situation.
EXCELLENCE - Performance, Effectiveness, Quality, and Safety in everything we do.
INNOVATION - Embracing new ideas and best practice in every service that we provide.
Valiant Integrated Services is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.
NOTICE: Valiant Integrated Services NEVER asks job applicants to issue any payment or service fees to Valiant or its recruiters as part of our application process. Before providing any personal information to outside parties, verify that the job you are applying for appears on our Careers site."
Business Intelligence Developer Intern,Sony Interactive Entertainment PlayStation,https://www.indeed.com/rc/clk?jk=8d6719e7fca204c5&fccid=750bb2e27e97e3c1&vjs=3,6 days ago,"San Mateo, CA",None,None,3.7,None,"PlayStation isn't just the Best Place to Play —it's also the Best Place to Work. We've thrilled gamers since 1994, when we launched the original PlayStation. Today, we're recognized as a global leader in interactive and digital entertainment. The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.
This internship is for Summer 2021.
Business Intelligence Developer Intern
San Mateo, CA
Responsibilities:
We are looking for an intern who loves solving business problems with data. You will explore new technologies and learn new techniques to tackle business problems creatively. You will build data visualizations that allow easy consumption of the data. You will collaborate with Product, Engineering and Business teams to produce relevant data solutions.
Qualifications:
Pursuing a Bachelor's or Master's degree in Computer Science/Engineering (or related field), and/or within 1 year of their post-graduation date
Strong critical thinking, analytical skills, and an eye for business opportunities
Hands-on experience in SQL, scripting language and data visualization (Microstrategy, Adobe Analytics, Tableau) technologies.
Data-driven and skilled at extracting, manipulating, and consolidating data from multiple sources.
Experience in working independently and driving projects end to end.
Sony is an Equal Opportunity Employer. All persons will receive consideration for employment without regard to race, color, religion, gender, pregnancy, national origin, ancestry, citizenship, age, legally protected physical or mental disability, covered veteran status, status in the U.S. uniformed services, sexual orientation, marital status, genetic information or membership in any other legally protected category.
We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond.
We sincerely appreciate the time and effort you spent in contacting us and we thank you for your interest in PlayStation."
Business Analyst,reveleer,https://www.indeed.com/rc/clk?jk=84bdbc31efabedb6&fccid=9a4203cb5eab1466&vjs=3,Today,"Glendale, CA",None,None,4.7,Easily apply,"Reveleer is a fast-growing technology-enabled services company that powers performance/quality measurement and risk adjustment solutions in healthcare. Specifically, Reveleer supports health insurance plans and Managed Care Organizations nationwide, leveraging software and other technology tools to accelerate their Risk Adjustment and Quality programs. Our mission is to efficiently work with healthcare providers to retrieve critical record data, and deliver reliable and auditable results, optimizing revenue and quality of care.
This is an entry‐level position aimed at people that are starting their career shortly after graduating college. The position is heavily weighted toward quantitative analysis and is great exposure to the fields of Healthcare, Technology, Business, and Software. It will provide an excellent background for a career in these fields, with room & flexibility to expand into your preferred direction within Reveleer.
What You Will Do:
Become a master of our data and use this knowledge to keep people informed
Liase with Operations, Product, Engineering, Finance, Data Analytics, and Marketing to define and report on key business metrics
Build ad‐hoc reports for different departments
Research and analyze existing processes to help streamline operations and optimize workflows
Assist in scoping, defining objectives and aligning stakeholders on projects
Create Data Visualizations (Dashboards) in Excel and Looker
Learn to use and manage modern technology programs – Project Management software, CRMs, Customer Experience Tools, Database software, Business Intelligence (BI) software.
Sit in on leadership meetings, observe, and influence decision making process that's typically reserved for senior people at larger companies
Research new software solutions & provide recommendations for buying and integrating new products into our business.
Prepare PowerPoint presentations to communicate ideas to Leadership.
About You:
Bachelor of Science (STEM)
Desire to learn about the company's intricacies and teach others
Strong problem solving and communication skills
Basic Experience with Microsoft Office
Desire to learn how to use key tools such as Looker and Asana
Technologically proficient, data‐driven, curious and excited to learn about our market
Say “Yes” to the unknown & dive into new projects.

What You'll Receive:
Competitive salary
Medical, Dental and Vision benefits
401k
Generous PTO plan
Fully stocked kitchen with drinks and snacks
Dog friendly office
No commute to the Westside!
Reveleer is an equal opportunity employer. We do not discriminate on the basis or race, religion, color, national origin, gender, gender identity, sexual orientation, age, marital status, veteran status, disability status or genetic information, in compliance with applicable federal, state and local law."
Business Intelligence Developer,CCS Global Tech,https://www.indeed.com/company/Helm360/jobs/Business-Intelligence-Developer-1c59072c6c44aeee?fccid=0d0582f3e490bc41&vjs=3,30+ days ago,"Poway, CA 92064","$80,000 - $90,000 a year",Temporarily remote,None,Easily apply,"Maintain, support, and enhance the business intelligence data backend, including data warehouses and data lakes.
Build interfaces between the business intelligence systems and other college information systems to maintain a timely and accurate integration of data.
Collaborate and work with data analysts in various departments to ensure that data meets their reporting and analysis needs.
Provide technical guidance for design and implementation of data governance systems and policy.
Work extensively towards SQL Server development in writing core TSQL scripts to implement complex business logics.
Develop SSIS packages to implement complex ETL strategies as a part of business requirements for population of dimensional data structures.
Work on creating SSAS cubes and various cube objects such as KPIs (Key Performance Indicators), calculated members, attributes hierarchies and perspectives.
Design eye-catching reports with data from OLTP database, dimensional data structure and OLAP cubes for business reporting purposes.
Keep abreast of new business intelligence technologies
Qualifications
BS or MS of degree in Computer Science, Information Technology, Engineering or related field is required
At least 1 year of experience using Microsoft SQL Server Database, SSIS, SSRS, SSAS is required
Experience with other relational databases, BI reporting and data discovery tools is preferred
Job Types: Full-time, Contract
Salary: $80,000.00 - $90,000.00 per year
Experience:
SQL Developer: 1 year (Required)
Education:
Bachelor's (Required)
Work Remotely:
Temporarily due to COVID-19"
Programmer Analyst II - MSO Business Intelligence,Keck Medical Center of USC,https://www.indeed.com/rc/clk?jk=962309e6a2c5348e&fccid=2e5243142d98319d&vjs=3,6 days ago,"Alhambra, CA",None,None,4.0,None,"Develops web applications using programming languages such as PHP, JavaScript, and SQL. Interviews customers to understand needs and design specifications. Follows design specifications to code, test, debug, install, document, and maintain web applications. Creates database tables, views, and stored procedures to support web applications. Develops new and enhanced functionality for web applications. Prepares code documentation in support of program development. Performs work of moderate complexity and handles most activities under general supervision of more experienced programming staff.

Minimum Education: • Minimum of High School Diploma, GED, or equivalent • Bachelor’s Degree required Minimum Experience/Knowledge: • Minimum three (3) years of relevant experience programming and documentation procedures, programming methods, program flow charts and operator instructions. • Knowledge of one or more appropriate computer languages. • Ability to present complex technical information to non-technical business users. • Good organization skills with ability to prioritize multiple activities in a rapidly changing environment Required License/Certification: • LA City Fire and Safety Certification, if position is required to travel to the hospital and/or work location is within LA City. If no certification upon hire, must be obtained within 30 days of hire and maintained by renewal before expiration date."
Business Intelligence Analyst,California Institute of Technology,https://www.indeed.com/rc/clk?jk=b9334ab45f9838ae&fccid=3f13ab783077a3af&vjs=3,7 days ago,"Pasadena, CA 91125 (South area)",None,None,4.1,None,"Business Intelligence Analyst

Caltech
Job Category: Fulltime Regular
Exempt Overtime Eligible: Exempt
Benefits Eligible: Benefit Based

Caltech is a world-renowned science and engineering institute that marshals some of the world's brightest minds and most innovative tools to address fundamental scientific questions. We thrive on finding and cultivating talented people who are passionate about what they do. Join us and be a part of the diverse Caltech community.

Job Summary
Under general supervision, reporting to the Director of Maintenance Management, the facilities Business Intelligence Analyst contributes to the success of the organization through business process mapping, process optimization, performance measurements, integration of best practices for operations and capital programs, financial analysis, and reporting of metrics.

Interacts with management, shop supervisors, project managers and leaders of every service and administrative unit in Facilities. The Business Intelligence Analyst will perform material management strategic sourcing support as needed by the department. The ideal candidate is expected to design and coordinate business intelligence reporting throughout the Facilities business units and support the optimization of the departments planning & scheduling functions. The candidate will coordinate communications and outreach efforts throughout the Facilities department and the campus community via the department website and institute marketing and communications channels.

Job Duties
Author of complex reports and dashboards
Consult with management and\or BI team to clarify program intent, identify problems, and determine the extent of programming and coding needed
Measure and report customer satisfaction; optimize customer service processes
Develop and track key performance indicators for the facilities maintenance program
Analyze maintenance operations financial data to help ensure resources are appropriately allocated and budgets are aligned with requirements
Support the asset management program through total-cost-of-ownership analysis
Support business process mapping and process improvement
Analyze alignment of facilities management practices with sustainable operations
Prepare and regularly update standard reports related to facilities operations & and maintenance, capital programs, and capital projects
Develop Business Intelligence metrics for Facilities service optimization
Prepare briefings and presentation materials
Responsible for submitting and following through with support tickets to fix bugs or problems with the application
Perform other duties as assigned

Basic Qualifications
BA/BS degree from an accredited college or university
5 or more years of relevant business intelligence analyst experience
Proficient with Power Point, Outlook, Excel, Visio, and Data Warehouse/BI tool
Excellent verbal and written communication skills with the ability to articulate technical objectives and processes to myriad audiences

Preferred Qualifications
3 or more years of experience with Business Intelligence/Data Warehouse tools and applications
Experience working with IWMS or CMMS scheduling systems
Experience with maintenance operations business practices
Experience with process design and implementation
Experience with procurement practices, strategic sourcing and value chain operations
Knowledge of AiM IWMS
Proficient with Pentaho

Required Documents
Resume
EEO Statement
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, or national origin, disability status, protected veteran status, or any other characteristic protected by law.

Caltech is a VEVRAA Federal Contractor.

To read more Equal Employment Opportunity (EEO) go to https://www.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf.
Disability Accommodations
If you would like to request an accommodation in completing this application, interviewing, or otherwise participating in the employee selection process, please direct your inquiries to Caltech Recruiting at employment@caltech.edu.
To be considered for this position please visit our web site and apply on line at the following link: https://hr.caltech.edu/work/job_openings

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.

Copyright 2017 Jobelephant.com Inc. All rights reserved.

Posted by the FREE value-added recruitment advertising agency



jeid-71cf2c5897dc524f849209c340bfea05"
Senior Business Intelligence & Reporting Analyst,Zwift,https://www.indeed.com/rc/clk?jk=9a1e2055f459ee87&fccid=ef1425ff45273b6b&vjs=3,Today,California,None,Remote,5.0,Easily apply,"Seniority Level: Mid-Senior
Location: Long Beach, CA or US Remote
About the role and about You:
You will focus on the quality and effectiveness of data visualization processes and take the lead in developing data visualization solutions for executives, investors, and business stakeholders. Your dashboards, reports, and tools will be intuitive and simple to use whilst wowing audiences with their design quality and power to tell stories. You will support a culture of data-driven decision making by democratizing access to data, ensuring the quality of data, reporting, and tools, and supporting stakeholders with guidance on how to use them. If this is you, and the thought of working for a company that blends fitness with the fun of video games sounds amazing, then please apply straight away.
What you'll do:
Promote a culture of data-driven decision making by providing business information and reporting to support executives and teams from across the organization
Define stakeholder and technical requirements for insightful and interactive BI reports and dashboards focussed on business performance and key strategic initiatives
Leverage a strong visual design aesthetic and an eye for detail to wireframe front end experiences, to build dashboards, and to build prototype tools
Define requirements, then collaborate with data engineering to build the required data sets and to deliver the finished tools/reports
Partner with data engineering and QA to ensure data availability, quality, and accuracy, and to drive adoption of best practices for data governance and documentation.
Help identify new and innovative data visualization tools and techniques that can be utilized to enhance the quality and effectiveness of offerings
Support analytics team members in the development of information delivery and aid in the automation of visualized products
Play a central role in defining and delivering new data sources to support the analytics team, key stakeholders, executives, and the broader business
Help grow self-serve capabilities across the business by ensuring the availability of appropriate tools, documents and data dictionaries, and by supporting partners with guidance and training on their use
What we're looking for:
3+ years of experience in business intelligence and reporting roles for a digital or subscription business or in a consulting environment
Widespread knowledge of BI, reporting, and analytics tools such as Tableau, PowerBI, Qlik, Looker, Alteryx, Chartio, Hive, Presto, Amplitude, Periscope, etc
Skilled with the use of Excel, SQL, and familiarity with Python, PySpark, R, or similar coding languages
Comfortable partnering with engineering teams to understand ETL processes and data collection. Familiar with streamlining data operations and driving data governance
Experience with designing great visualizations and dashboards, combined with a detail-oriented approach to data quality validation
Passion for data democratization and helping organizations effectively self-serve with data, reporting, and documentation
Awareness of current research and innovations in the field of data visualization and data dictionaries
Comfortable with coaching small groups of employees in the use of self-serve tools and reports
Bonus points:
Familiarity with data best practices, including documentation, governance, privacy, and security
Passion for cycling, running, triathlons and/or experienced Zwifter
Passion for video games
How to stand out among the rest:
Your resume is enough to show off your skills, accomplishments, and experience. However, if you choose to include a cover letter introducing us to your awesome personality, we will read that too.
Values:
Of course, we are nothing without our values. Our values ground us. They ensure we run and build a company where people love to work, feel like they are welcomed, included, and belong. Only then can they thrive and do their best work. The values we strive to live every day are:
Make It Fun
Elevate Teammates
Cultivate Our Community
Always Level Up
One Zwift for All
We strongly believe that different backgrounds and ideas are a competitive advantage; we hire candidates of any race, color, ancestry, religion, sex, national origin, sexual orientation, gender identity, age, marital or family status, disability, Veteran status, and any other status. Zwift is proud to be an Equal Opportunity Employer. If you have a disability or special need that requires accommodation, please let us know by emailing careers@zwift.com.
Zwift, Inc. is an Equal Opportunity Employer."
Business Intelligence Developer and Analyst - Full Time,Borrego Health,https://www.indeed.com/rc/clk?jk=4deed0581094dca0&fccid=38c22dcb771b4302&vjs=3,5 days ago,"San Diego, CA",None,None,2.7,None,"Borrego Health provides high quality, comprehensive, compassionate primary health care to the people in our communities, regardless of their ability to pay. We serve these communities and adjoining regions with respect, dignity and cultural sensitivity as a medical home and safety net for essential health care and social services. Borrego Health is a non-profit 501(c)(3) Federally Qualified Health Center (FQHC) and a Federal Tort Claims Act Deemed (FTCA) facility.

Borrego Health is now the second largest health center in the country and the largest health center in the State of California! Join our team and make a difference today!
Summary:

Under the direction of the Director of Application and Database Services, this position is serving as a Business Intelligence (BI) Developer and Analyst supporting the organization departmental needs for reporting and data utilizing Tableau and other reporting tools. Job duties includes but not limited to the development and maintenance of internal and external reporting, internal and external data services needs and other ad-hoc projects. BI Developer and Analyst works closely with department leaderships, managers and staff and will serve in a role of a liaison/project manager in facilitating and prioritizing the reporting needs of these departments. A high level of technical and functional competency on the assigned information and reporting systems is expected from this position. This position will also work with various leadership levels and staff within the Borrego organizations and other community and strategic partners as needed.

Essential Duties and Responsibilities:

Administrative Functions:

1. Designing and plan Business Intelligence (BI) solutions.
2. Develop visualizations that provide business insights for the organization
3. Finding and understanding the data sources for a given analysis
4. Work independently with stakeholders at all levels
5. Excellent communication skills to be able to work with different departments to develop and define key business questions and to build specifications for the data that answer those questions
6. Debugging, monitoring, and troubleshooting BI solutions
7. Assist in the overall management of the availability, usability, integrity, and security of the data employed in an enterprise (Data Governance)
8. Projects or ad-hoc requests include requirements gathering, design, deployment and on-going maintenance and enhancement requests
9. Build prototypes for demonstration and illustration purposes for peer groups, departmental partners and leaders
10. Act as a mentor and Tableau SME for other Tableau users across the organization
11. Ability to prioritize and manage several tasks at once
12. Perform requirements gathering, Tableau design specifications and Tableau development.
13. Assist in the application upgrades, patching, and support.
14. Assist in the database upgrades, patching, and support.
15. Assist with development and maintenance of SQL datasets and data sources.
16. Assist with development and support of database interfacing and data integration.
17. Define and collect appropriate data for departmental reporting/data needs.
18. Ensure and maintain security and confidentiality for all data as outlined by internal policies and procedures.
19. Assist in the development of ad-hoc reports per need basis.
20. Provide training and technical assistance on Tableau, applications relating to departmental and other related reporting tools.
21. Maintain current knowledgebase of databases, applications, and reporting tools
22. Other duties as assigned.

Qualifications:

Minimum Qualifications:

1. Bachelor’s degree in Computer Science, information systems or related field; project management and/or general business management, or equivalent related IT experience
2. High School Diploma or GED Equivalent
3. Two or more years of relevant healthcare information systems experience preferred.
4. Capable of managing and adjusting work request volumes, priorities, and high-volume user demands
5. Strong SQL experience
6. Strong Tableau development experience
7. Experience analyzing accounting and billing data
8. Demonstrated knowledge of basic project management methodologies and system analysis.
9. All staff that is presently working within a clinic is required to have a Current and Valid CPR and First Aide certification on file with the Human Resources Department. This is for clinical and administrative staff. This new license requirement is mandatory for continued employment, CPR and First Aide certification must be obtained through the American Heart Association. Internet certificates do not comply and for this reason are not valid.

Additional Information

You may also mail or fax your application and resume to the following address and telephone number:

Borrego Health
PO Box 2369
Borrego Springs, CA 92004
Fax: 858-634-6903
Borrego Community Health Foundation is an Equal Opportunity Employer. We encourage applications from all individuals regardless of race, religion, color, sex, pregnancy, national origin, sexual orientation, gender identity, gender expression, ancestry, age, marital status, physical or mental disability or any other protected class, political affiliation or belief."
