title,company,link,date_listed,location,salary,remote,rating,easy_apply,description
Software Engineer,Happy Money,https://www.indeed.com/rc/clk?jk=bc94af343db731cc&fccid=dd616958bd9ddc12&vjs=3,Today,California,None,Remote,None,Easily apply,"ABOUT US
We're not just a business, Happy Money is a Movement. As the leader in the financial mindfulness category, we deliver digitally-native financial tools and services for human happiness™. We do this through its purpose-driven marketplace between mission-aligned capital and consumers. Happy Money is creating a connected ecosystem of consumer financial products designed to help borrowers become savers.
Backed by leading investors including Anthemis Group, Tencent Holdings, and CMFG Ventures, Happy Money has helped over 100,000 members pay off over $2 billion in credit card debt. Founded in 2009, Happy Money has over 300 employees across the U.S. and is headquartered in Orange County, California.
Happy Money. A Happier Future.™
ABOUT THE ROLE
The User Interface Platform team is in charge of everything user-facing at Happy Money.
Design, build, debug and test features across our properties.
Write documentation, including technical design docs
Take pager duty shifts on rotation
Help evaluate and develop more junior developers
This is a 100% remote position
ABOUT YOU
Experience with React, React Native, Node, but value flexibility
Strong hands-on experience with HTML and CSS
Experience developing and integrating with APIs
Experience with Agile and Lean software engineering methodologies and practices
Experience with modern tooling and best practices, especially in the areas of testing, CI/CD, and instrumentation
Excellent verbal and written communication.
BONUS POINTS FOR
Experience with financial services systems
Strong experience with application security, performance, or accessibility
Experience with Apache Kafka, Spark and/or Hadoop Stack
Hands-on experience with at least one SQL and one NoSQL variant, i.e. Postgres, MySQL, Mongo, Cassandra"
Software Engineer - Back End,Tesla,https://www.indeed.com/rc/clk?jk=7a4b1ffe180235d6&fccid=86e9be6ce380173e&vjs=3,2 days ago,"Fremont, CA",None,None,3.5,None,"This position is within our Applications Engineering organization, which is responsible for building Information Systems to support Tesla's rapid growth while providing amazing customer experience. The organization builds applications & systems that bring our amazing Vehicles & Energy products to customers. Some of the core functions include CRM, e-commerce, financial transactions, ERP & manufacturing.

Digital Products Engineering, under the umbrella of Applications Engineering, builds our customer facing www.tesla.com that help our customers across 60+ countries understand our products, place and track the order status until delivery/install. The team also builds native and kiosk applications for our retail stores. In the backend, this team builds systems to manage our customer data, optimize schedule of service centers & installation crews and several core platforms (Document Management, Adaptive Surveys, API Gateways etc.)

Responsibilities
Design, development and implementation of applications for Tesla customers on features like referrals (Loot Box), service center appointment management and support content
Use .net framework, .net core and MS SQL technology stack
Design software architecture based on business requirements, strategy and priorities
Promote software engineering best practices via code reviews, building tools and documentation
Be nimble and react quickly to changing business conditions
Leverage your existing skills while learning and implementing new, open source technologies as Tesla grows
Work with product managers, content producers, QA engineers and release engineers to own your solution from development to production
Requirements
Must have
BS in Computer Science or equivalent discipline
Some experience with the .NET platform
Experience in MS SQL Server is required and good knowledge in query optimization
Expert knowledge of REST APIs
Good unit testing and integration testing practices
Experience with message queue architecture
Good to have
Exposure to Go, PHP, Java and other open source technologies
Experience with Docker and Kubernetes
Agile/SCRUM Software Development Process experience
Tesla participates in the E-Verify Program"
Software Engineer Associate,Epsilon,https://www.indeed.com/rc/clk?jk=12db687c0fead0cc&fccid=d20278fc46c90d65&vjs=3,1 day ago,"Westlake Village, CA 91362",None,None,3.4,None,"Epsilon is seeking a Software Engineer Associate to participate in our New Grad Program. As a Software Engineer Associate, you’ll be part of a high-performing development team writing production code running in a high frequency/low latency environment. You’ll develop and maintain software products that leverage the latest technologies to deliver large scale one to one advertising messages. You’ll gain valuable hands-on experience working with current technologies alongside some great people in a fun, innovative atmosphere.
As a participant in the New Grad Program, you will have the opportunity to fast-track your career with Epsilon. The program includes an 8-week training curriculum (both professional & job specific training), a formal mentoring partnership, various networking opportunities (speed networking events, leader meet & greets, group lunches and social events), and long-term career guidance.
Responsibilities May Include (All or Some) Tasks Below:
Read and write efficient and performant Java code
Work effectively and collaboratively with a team of other engineers and external team members.
Actively participate in peer code reviews and design sessions.
Conduct performance testing and monitoring of production systems
Assist with investigation and resolution of production issues.
Qualifications:
Bachelor’s degree in Computer Science, Information Technology, Software Engineering or related technical disciple
Desire to learn technology; interest and/or experience with Kafka, HBase, open source technologies a plus
Familiarity with object-oriented design and methodology (Java, XML, SQL, Linux) and web technologies (C++, Python, Ruby, PHP)
Excellent listening and communication skills, both verbal and written
Detail-oriented, able to multi-task and prioritize in a fast-paced environment
Able to work in a team and build effective relationships
Demonstrated leadership skills with an entrepreneurial attitude
Self-starter, with strong initiative
Additional Information
Great People, Deserve Great Benefits
We know that we have some of the brightest and most talented associates in the world, and we believe in rewarding them accordingly. If you work here, expect competitive pay, comprehensive health coverage, and endless opportunities to advance your career.
Epsilon is an Equal Opportunity Employer. Epsilon’s policy is not to discriminate against any applicant or employee based on actual or perceived race, age, sex or gender (including pregnancy), marital status, national origin, ancestry, citizenship status, mental or physical disability, religion, creed, color, sexual orientation, gender identity or expression (including transgender status), veteran status, genetic information, or any other characteristic protected by applicable federal, state or local law. Epsilon also prohibits harassment of applicants and employees based on any of these protected categories.
Epsilon will provide accommodations to applicants needing accommodations to complete the application process.
#epsiloncampus
REF20607M
Job Location"
Associate Software Engineer,Xactly Corporation,https://www.indeed.com/rc/clk?jk=107a58561a6d4332&fccid=71c5f67b36fd552b&vjs=3,Today,"San Jose, CA 95113 (Downtown area)",None,Remote,3.5,None,"Job Title: Associate Software Engineer / UI Engineer
Location: Denver, CO or US Remote
Function: Engineering
Position Type: Full-time
Position Level: Entry-Level
Openings: 2

Xactly Corporation was founded to solve an important challenge: how to help people everywhere connect and unleash their human potential through seamless, perfectly aligned Sales Performance Management. Xactly’s comprehensive Sales Performance Management (SPM) suite leverages data from a sales performance AI platform to provide timely insights across the entire SPM value chain, from sales planning to execution, including compensation to optimization. Xactly takes Sales Performance Management from a dark art to a science, providing decision-makers with the data insights they need to tap the motivational power of their incentive compensation. With access to predictive analytics and benchmark data, enterprises can now optimize territories, design the right compensation and incentive plans and accelerate attainment and optimization of sales performance.

THE OPPORTUNITY
As a UI Engineer at Xactly, you’ll be an essential member of a fast moving agile development team building Xactly's newest products. You will contribute to all aspects from design and development to deployment and support working alongside product management and customer support. You’ll be responsible for taking personal ownership in both your code and others, this includes ensuring proper tests, documentation and communication around development. At Xactly, we believe everyone has a unique story to tell, and these small differences between us have a big impact. When bright, diverse minds come together, we’re challenged to think different ways, generate creative ideas, be more innovative, and take on new perspectives. Our customers come from different cultures and walks of life all around the world, and we believe our teams should reflect that to build strong and lasting relationships.

THE TEAM
Here at Xactly, we pride ourselves in building teams with diversity of opinions in order to build the best software possible. We understand that not everyone works the same way and strive to create a flexible open environment to allow you to create the work/life balance that works best for you.

THE SKILL SET
0-2 years of experience in web application development and architecture.
Experience using open source software libraries
Experience with Javascript and knowledge of modern frameworks and libraries (React preferred)
Experience in an agile (Scrum) development process
Bachelor's degree in Computer Science or other relevant technical degree or equivalent experience preferred


WITHIN ONE MONTH, YOU’LL
Become familiar with the code base, development processes, and deployments.
Become familiar with the product as customers will use it.
You may even have your first PR approved and in production.


WITHIN THREE MONTHS, YOU’LL
Become a contributor to the overall code base.
Have PRs approved and deployed to production
Contribute to design


WITHIN SIX MONTHS, YOU’LL
Helping troubleshoot issues
Work with other developers on the team
Help scope and estimate tasks


WITHIN TWELVE MONTHS, YOU’LL
Working autonomously and closer with product
Helping other developers across teams
Contribute new ideas to the product and development


BENEFITS & PERKS
Flexible Time Off (FTO)
Comprehensive Insurance Coverage (including pet insurance!)
Tuition Reimbursement
XactlyFit Gym/Fitness Program Reimbursement
Kitchen Stocked Daily with Tasty Snacks, Fruit, and Drinks
Access to Corporate Discounts
Up to (3) Days Paid Leave to Participate in Community & Volunteer Opportunities
End of Month Surprises, Contests, BBQs, Parties & Reward Vacations
401(k) Retirement Savings Plan & Employer Match
Periodic Massages
Generous Employee Referral Program
Relocation Assistance through Preferred Partner
Full access to Grokker, our health engagement and employee wellbeing platform



THE XACTLY STORY

Xactly is a leading provider of enterprise-class, cloud-based, incentive compensation solutions for employee and sales performance management. We achieve this by following our vision: Unleashing human potential to maximize company performance. We address a critical business need: to incentivize employees and align their behaviors with company goals. Our solutions allow organizations to make better strategic decisions, optimize behaviors, increase sales and employee performance, improve margins, increase operational efficiencies, mitigate risk, design better incentive compensation plans, and reduce error rates in incentive compensation calculations. Our core values of Customer Focus | Accountability | Respect | Excellence are key to our success, and each day we’re committed to upholding them by delivering the best we can to our customers.
We were the first 100% cloud-based, multi-tenant provider focusing solely on the incentive compensation and employee and sales performance management market, and we achieved our leadership position through domain expertise and innovative technology. We deliver our solutions through a Software-as-a-Service (SaaS) business model.
Xactly is proud to be an Equal Opportunity Employer. Xactly provides equal employment opportunities to all employees and applicants without regard to race, color, religion, sex, age, national origin, disability, veteran status, pregnancy, sexual orientation, or any other characteristic protected by law. This means we believe in celebrating diversity and creating an inclusive workplace environment, where everyone feels valued, heard, and has a sense of belonging. By doing this, everyone in the Xactly family has the power to make a difference and unleash their full potential.
We do not accept resumes from agencies, headhunters, or other suppliers who have not signed a formal agreement with us."
Software Engineer Apprentice,IBM,https://www.indeed.com/rc/clk?jk=696facba162c4368&fccid=de71a49b535e21cb&vjs=3,1 day ago,"San Jose, CA",None,None,3.9,None,"Introduction
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on time, bank transactions complete in the blink of an eye and the world remains safe because of the work our software developers do. Whether you are working on projects internally or for a client, software development is critical to the success of IBM and our clients worldwide. At IBM, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of.

Your Role and Responsibilities
Are you interested in pursuing a software development career? Have you heard about agile development, but want to learn more about how it ‘works’? Are you someone that has a foundational understanding of development or programming concepts, but want to take a less traditional path to achieve it?


What is an Apprenticeship?
IBM Apprenticeship Program, which lasts approximately 12 months, is an official registered apprenticeship recognized by the Department of Labor (DOL). Every graduate of a Registered Apprenticeship program receives a nationally-recognized credential from the DOL.

During the apprenticeship duration, you will be required to complete specific learning hours and on the job training that has been outlined to ensure you are developing the skills and competencies essential to the role. You will be able to learn and grow at your own pace, but we expect most apprentices will complete their learning within 12 months. Once you graduate and receive your certificate from our apprentice program, you will be eligible to apply to available full-time roles at IBM.

Who you Are
An apprenticeship is about learning. We’re seeking candidates who have the following requirements, but we know you’re just getting your career started, and we’re committed to helping you learn and grow. If you’ve had some experience with coding or development in the past, you’re exactly the type of candidate we’re looking for….
Drive and eagerness to learn
Strong problem solving and communication skills
Able to work independently and take initiative, as well as work collaboratively and contribute to an agile team environment

Some knowledge or experience in ONE or more of the following:
Java, JavaScript, PHP, C#, Objective-C, C/C++, Python, Ruby and/or functional languages (Haskell, Scala, F#, Clojure)
Design Thinking
Hypothesis driven development
Social coding
Agile principles
Container development using tools such as Docker or Vagrant
Application Development, DevOps automation, and the development toolchain (e.g. Travis, Jenkins, Junit, automated test tools)

What’s the Experience?
As an apprentice, you'll join with other apprentices in a local cohort. You'll go through your first few weeks together, learning about IBM and the skills you'll be attaining throughout your apprenticeship. Then, you'll work with your managers and mentors to progress through your personal skills roadmap, learning and demonstrating new knowledge and competencies through hands-on application with your project teams. You'll complete milestones along the way, earning digital credentials to validate your skills, and will come back together with other apprentices to participate in on-going training and development focused on your professional and technical skills.

As a Software Engineer Apprentice at IBM, you’ll work as part of a larger team of experienced developers and mentors in an interactive, collaborative environment. You’ll learn the fundamentals of development, software design, testing, and cloud computing, agile principles, IBM Design Thinking, DevOps and continuous delivery. You will also learn how to resolve IBM customer issues, debug customer problems and environments, and increase Cloud Service skills, and will build the skills to grow your career as a Software Developer. Best of all, you are a contributing member of your team, putting forward ideas, taking on responsibilities and making choices about how you get the job done just like any other IBMer.

No relocation is available for this position.

ncappx

Required Technical and Professional Expertise
Must have basic knowledge in one of the following programming languages: Java, JavaScript, PHP, C#, Objective-C, C/C++, Python, Ruby and/or functional languages (Haskell, Scala, F#, Clojure)
Willingness to complete the requirements of the apprenticeship program.

Preferred Technical and Professional Expertise
None

About Business Unit
IBM Systems helps IT leaders think differently about their infrastructure. IBM servers and storage are no longer inanimate - they can understand, reason, and learn so our clients can innovate while avoiding IT issues. Our systems power the world’s most important industries and our clients are the architects of the future. Join us to help build our leading-edge technology portfolio designed for cognitive business and optimized for cloud computing.

Your Life @ IBM
What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
Software Engineer (Java or C++) - All Levels Welcome to Apply,"Abalta Technologies, Inc",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0APNAe04WRGz-4ooXJAq3I6WTFLTsRimpNfxFmXghmVxWXFUQSYK7el7Ftum2x-2B63rl1MQkFNzlnK9Xrw5v-4vITjCsb-eGqQXmX5fE9D_aL9_xDfxPcWpBgdrhStfRnHQU5cWydOtDJqihhvvVAoI8jQ9xUyXvTssN12GxElygJPlfQVyy-diZQueX7pPW40AfpC82x0EZvZiLa9fh4kZTsOT695S8RHL3H8oz-kitd4UHxq6M9e66MJQwjx_nkxLV9C5u__LEbYmX8wlzLecdF1SB_ktQ4I1UBRtPmazycuIeEubxYPosqv8mJ1vNSi07OlHQem8yzQ9Mt7-6ErJLIJPIrGjRWr7PysuRYvkhy9wkFziPSM4TGuPYYKzxnCdU1_VgD02kn7NmypoJDjWVG630aFuK-C3W0_kmRHlM2oQ-snDgL5yO5Cak5T6qJf6_UaMxTKtidY_etC1Wz-fT5eAFNGB-2SrnvHeWmtiknk4pmrTPaK&p=5&fvj=1&vjs=3,30+ days ago,"San Diego, CA 92121 (Sorrento Valley area)","$70,000 - $100,000 a year",Temporarily remote,None,Easily apply,"We are looking for experienced C++ and Android/Java developers to join our growing team to work on embedded automotive projects.
Requirements:
MUST be a US citizen or have unrestricted and continuing employment authorization in the US.
Have a BS or MS in CS, CE, or EE
2+ years work experience with C++ or Java programming languages
Have excellent written and verbal communication skills.
Be self-motivated. Must be able to anticipate problems, spot opportunities and take a proactive approach to responsibilities.
Be motivated to continue to learn new skills
Have strong interpersonal skills to facilitate working within a team and with the customer.
One or more of the following additional skills are highly desired but not required:
Development experience with embedded real time operating systems (QNX, Embedded Linux, Android Automotive).
Development experience with mobile devices running iOS, Android, and/or Windows Mobile.
Experience with Agile/Scrum development methodology
Primary Responsibilities:
Software subsystem design and implementation
Attend code and design reviews
Interact with customers
Help drive the technical direction of the engineering group in the following areas:
Coding standards and guidelines
Agile/Scrum methodology
Provide assistance to other engineers in a constructive manner that will promote productivity
Benefits:
Abalta Technologies provide a generous benefits package that includes medical benefits for you and your family and 20 days of personal time off (PTO).
About Abalta
There’s never been a more exciting time to be a part of the automotive technology industry. The average car rolls off the manufacturing line today with up to 100 computers, millions of lines of code, and the ability to connect to the cloud. This enables game-changing developments like autonomous vehicles and “smart” cars that can do everything from running your favorite apps to turning your house lights on before you even pull into the driveway.
Here at Abalta Technologies, we’re on the front lines of the automotive revolution, developing innovative connected car solutions for major automakers and suppliers all over the world. In fact, it’s safe to say that we’re pioneers in the car technology space, led by industry veterans who created some of the world’s first in-car navigation and mapping solutions. Today we offer a full suite of products and services that enable our customers to keep their cars connected to the future and offer drivers the ability to enjoy all their favorite apps and services in their vehicles.
Our success is a result of our ability to assemble a team of dedicated and passionate technologists who work hard, play hard, and never stop learning. We work in a fast-changing industry. All Abalta employees are encouraged to explore new technical areas and help us develop new solutions while sharpening existing skills working on our leading products and services. Our team members help each other become great software engineers capable of solving some of the hardest problems on the planet. We are headquartered in San Diego, California with a growing presence in the greater Dallas area, specifically Irving.
If you’re looking for a challenging opportunity to work on products and services that are re-shaping one of the biggest industries in the world, surrounded by a team of innovative and passionate software engineers, let’s talk. We’re looking for software engineers to join our core development team. Our ideal candidate is a creative self-starter with great drive and motivation who wants to work on exciting products that will be deployed by large global companies.
Job Type: Full-time
Pay: $70,000.00 - $100,000.00 per year
Benefits:
401(k)
401(k) Matching
Dental Insurance
Health Insurance
Paid Time Off
Referral Program
Tuition Reimbursement
Vision Insurance
Schedule:
Monday to Friday
Experience:
Software Engineering: 3 years (Preferred)
Education:
Bachelor's (Required)
Work Location:
One location
Company's website:
www.abaltatech.com
Work Remotely:
Temporarily due to COVID-19"
Software Engineer,Curebase,https://www.indeed.com/rc/clk?jk=f7a37154561e55e8&fccid=f0900e9156d2ea6b&vjs=3,3 days ago,California,None,Remote,None,Easily apply,"About the job
Do you want to use your software engineering skills to change medical research for the better?
If you answered ""yes"", then the Solutions Software Engineer role at Curebase is for you! We are a decentralized clinical trial platform, taking medical research out of the traditional hospital settings and bringing it directly to patients at home and with their own doctors. Our software allows any patient to contribute to medical research, and any healthcare provider to contribute to cutting-edge research. Our clinical trials reach more diverse patients, faster, and at lower cost than traditional clinical trials, and is never more important than now during the COVID-19 crisis.
What you'll do
As a software engineer at a growing startup, you'll play a critical role in planning and building the future of our company. You will:
Develop new features for our patient, doctor, and research users
Collaborate directly with our health system and biomedical partners
Ensure excellent security, user privacy, and regulatory compliance
Make key decisions about architecture and technology selection
Our technical stack is built on Javascript, React.js, Flowtype, Express.js, GraphQL/Apollo, and AWS/Terraform. We currently have 4 people on our engineering team (4 Software Engineers and the CTO).
Requirements
Ideal qualifications include:
Self-motivated and takes initiative
Mission driven to improve lives in meaningful ways
Track record of pursuing engineering excellence at every opportunity
Nice-to-haves include: Interest in healthcare, experience building quality web applications, and experience in one of our current skill gaps (infrastructure, data reporting/business intelligence, database management)"
Backend Software Engineer,Philo,https://www.indeed.com/rc/clk?jk=4add3a57349a723b&fccid=f2c9b2ce0e08df2b&vjs=3,3 days ago,"San Francisco, CA",None,Remote,None,Easily apply,"Philo is building the future of television. Our product lets you watch your favorite shows on all the devices you care about, with seamless playback, insightful discovery, and effortless sharing — in short, we're building the TV experience that we've always wanted for ourselves.
We're a company that puts people first — both our subscribers and our team. At Philo, our philosophy is to empower our colleagues to do their best work while supporting each other in pursuing shared goals. We value pragmatism, pride in our work, and passion. We believe in having transparency and openness across all parts of the company.
We are committed to diversity and inclusion as we grow the Philo team and shape the future of TV. We believe that a diverse set of voices and perspectives on our team enables us to innovate faster and create the best experience for our subscribers.
Philo is headquartered in San Francisco, with additional offices in New York and Cambridge, MA. Our leadership team includes a cofounder of Facebook as well as alums of Meraki and HBO. Philo is backed by NEA and industry partners including Discovery, Viacom, AMC, and A&E.

Hack the Full Stack

Philo's engineers hack up and down the technology stack. It's not uncommon for a Philo engineer to go from backend coding to user experience design, from the video encoding pipeline to system scalability, from site maintenance to iOS/Android development. Philo engineers own what they build from start to finish. We ship to production multiple times per day and keep unnecessary process to a minimum so we can maintain our pace of rapid development.

We are actively hiring engineers who are looking to build a completely new kind of product and who have a passion for back-end and/or front-end development.

Infrastructure

Philo's infrastructure consists of thousands of connected machines in nearly 100 data-centers across the country, with new machines spinning up every week. Philo is harnessing petabyte storage and petaflop compute power in a highly distributed environment. Our systems ingest roughly 50Gb of video per second, then transcode, segment, and encrypt it to deliver live television to our users. Meanwhile, our DVR storage system writes millions of episodes to disk every day. We operate in two different environments: on commercial cloud infrastructure, as well as within the unpredictable world of remotely managed hardware in a wide variety of hosting environments across the country.

As a backend engineer you will be responsible for:
Brainstorming, designing, implementing, and rolling out the next generation of Philo's system to handle an order of magnitude more channels, users, and recordings.
Developing our video pipeline: building a highly available transcoding, segmentation, and video hosting and storage system.
Automating system configuration: since we're a small team, constantly deploying both new hardware systems and code in cloud infrastructure, we have no choice but to heavily automate our infrastructure.
Hacking on our monitoring and management system: we graph, track, and alert on all kinds of metrics up and down our stack, giving us important insight into performance trends and helping us catch issues before they impact our users.
Finding cheaper, faster, better solutions: both in our cloud environment and our hardware-based systems, we're always trying to reduce costs and improve our product.
We are language agnostic, but most of our server-side code is written in Golang, Node, and Ruby, with some C++ and Python. Our centralized infrastructure is built out on Kubernetes, and we practice continuous deployment across all of our systems.
Projected Start Date: ASAP
Status: Full-time
Location: San Francisco, CA
Compensation: Includes competitive salary, company stock options and health benefits.
We value a diverse and inclusive workplace and we welcome people of different backgrounds, experiences, skills, and perspectives. Philo is an equal opportunity employer. We believe that everyone does their best work when they are supported by each other and the company, and we offer a generous set of benefits to make sure the Philo team is happy and healthy. Here is a sampling of the benefits we offer our team:
Full health, dental and vision coverage for you and your family
Flexible working hours
Generous paid parental leave
Unlimited paid time off for vacation and sick leave
$2000 annual vacation bonus (we pay you to take a two week vacation)
$5000 annually for professional development and educational assistance
$500 ""TV stipend"" for new employees to upgrade their home watching setup
Dog-friendly office
And much more!
For California Residents: Philo's CCPA Notice at Collection – Employees, Applicants, Owners, Directors, Officers and Contractors"
"Associate Software Engineer, Pathways Program",Northrop Grumman,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPf8Tf_oakpB62WadId2dzQiWExtALTi0lpCM--zHBL4xiBVbb_EgRq1K1PNRlDf_JMFO3LzqkGBstA7YY8xWkkHiMF00wME1eFe5KU49C_q8szFHI4V7nehuZHFOpksQVDZ_aP7cqDx58iRDiiW3YI9vllk3jju7C1j1UH4vrBsSEKSLYDndYj6X1oVMFV38g5MrDbzpQ6risTcBcfX090ljHstSLDb84rboKJikg-jlB98eF5ElPL44ATQN25E_pw-T3o6aoA4iWV-LStvUSkuex1D394roZnXUra0c2XmgnCpSJOydyVam3W80wq7oifT4pCcAj_EH72FGyhsqfoE6AwqgF6LgLqqLpW8EvzjIUIMeju7W6m3l_GIHxHofROyyP4m0P4FM7Xaf7xJ6S35J_mq9etMOmfrDEoFiWp5orphUvEVoX7aHgxihZhkuOqycUKmlkO0RsMYEqI6oWoC02-QYsbxrQk1nOlEvPbd88MYIaa00ijWGQKaS7BWaZDN_NpwAfMsI_6iRpEaTSGBKaszr7ZDBL37cdOs8hv_IRu7CUyl3334GkiyiFvCfemBN5KsJFkjwpgGjlKiImOWPCO8wUiCDH5FqQB9GOjwjYA69ge68cMX5EYtkJ8dQrsl1cUPwdLQ==&p=8&fvj=0&vjs=3,8 days ago,"Redondo Beach, CA 90278",None,None,4.0,None,"Your opportunities for achievement are limitless with Northrop Grumman Space Systems.

At Northrop Grumman, our employees have incredible opportunities to work on projects and programs that impact people's lives around the world today, and for generations to come. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to improve the present, invent the future, and have a lot of fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work - and we have an endless drive to do what others think is impossible. Our employees are not only part of history, they're making history.

This position will be in the Pathways rotational program where there will be three rotation opportunities within engineering.

Northrop Grumman is seeking Software Engineers. This position will be located at our Space Systems Sector in Redondo Beach, CA.

The qualified candidate will become part of Northrop Grumman's Payload and Ground Systems Team.

Qualifications:

Basic Qualifications:

A candidate, regardless of age and hiring source, must meet ALL of the below criteria. The candidate must:
Be completing or has completed their Bachelor's degree from an accredited institution.
Be majoring in or having majored in Computer Science or Computer Engineering, or related STEM majors.
Have an overall cumulative GPA of 3.0 out of 4.0 or higher (unofficial academic transcripts must be provided at time of application by uploading the documents to your application or profile)
Be able to obtain and maintain a U.S. Government security clearance (U.S. citizenship is a pre-requisite)
Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO. U.S. Citizenship is required for most positions."
Solutions Software Engineer,Curebase,https://www.indeed.com/rc/clk?jk=9aa4e1bc4b2afdcb&fccid=f0900e9156d2ea6b&vjs=3,3 days ago,California,None,Remote,None,Easily apply,"About the job
Do you love working directly with customers AND full-stack software engineering? Do you want to use your skills to change medical research for the better?
If you answered ""yes"", then the Solutions Software Engineer role at Curebase is for you! We are a decentralized clinical trial platform, taking medical research out of the traditional hospital settings and bringing it directly to patients at home and with their own doctors. Our software allows any patient to contribute to medical research, and any healthcare provider to contribute to cutting-edge research. Our clinical trials reach more diverse patients, faster, and at lower cost than traditional clinical trials, and is never more important than now during the COVID-19 crisis.
As a Solutions Software Engineer, you will have one foot in the Software Engineering team and 1 foot in our Customer's workflow. That means you will:
Meet with customers and assess their needs
Collaborate with the sales team to explain technical needs for new projects
Identify gaps between the Curebase product and customer needs
Build those solutions and ship code changes to the core software product
Collaborate with Software Engineers on larger software development initiatives
Collaborate with Product Manager to ensure requirements speak to the customer
Be the voice of the customer at Engineering planning and design meetings
Be a first line-of-defense for customer issues that need technical solutions
Fix bugs and respond to issues faced by customers
Help Curebase operations to complete complex product configurations
Help operations and sales teams to see data insights using SQL and visualizations
Requirements
You will be required to use the following technical languages:
JavaScript
Postgres SQL
GraphQL
Amazon Web Services
You don't need to have experience in these exact languages, but a strong software engineering background is required. The ability to work directly with customers and use outstanding cross-team communication skills is also required."
